Impact,Rx_cm,Ry_cm,Contraste_profil,Contraste_grille,Autre_max
1,2.27719062091713,2.15135676439475,2.414699370317,3.20165324012907,0.392854740347541
2,2.26004911914007,2.0829371539389,2.52116340694099,2.9854145976163,0.402087123781784
3,1.92094581401203,1.8596375211519,3.05227011752399,3.15397470951376,0.413385779135395
4,2.44394116037585,2.06101908102687,3.01393555510537,3.15905807204809,0.413385779135395
5,2.36981193252904,2.05924815457079,3.356768302839,3.47292057122045,0.316495846150688
6,2.15454798225111,2.13799477283159,2.13567126964615,3.30615716858318,0.370000822735085
7,2.04306553030228,2.12598138539408,3.161603185978,3.2765642671024,0.381313614660924
8,1.98929129719725,1.97986196954279,3.14632196095452,3.38072853757934,0.402087123781784
9,2.00337186792481,2.20997993404788,3.18943321490877,3.40129968242968,0.392854740347541
