Forme,Materiau,Rx_moy_cm,Rx_min_cm,Rx_max_cm,Rx_std_cm,Rx_inc_cm,Ry_moy_cm,Ry_min_cm,Ry_max_cm,Ry_std_cm,Ry_inc_cm,Cp_moy,Cp_std,Cg_moy,Cg_min,Cg_max,Autre_max
Cercle,provisoire,2.70419248766428,2.40774398530372,3.27701380614441,0.278093125834671,0.0926977086115569,1.93333414462053,1.41111570074536,2.27224896647066,0.244345635240832,0.0814485450802773,2.74538111133588,0.133430974514284,2.77760288983209,1.9436625885471,5.99762489869217,0.999999770647489
Rectangle,provisoire,2.36875204257368,2.11964115509926,3.00478544874873,0.33226318007602,0.110754393358673,2.41358374638346,2.2659812649044,2.51201845464573,0.0817584616778021,0.0272528205592674,3.34618869783731,0.156772169034012,2.62443600107827,2.19741304010465,3.57217725094918,0.999992555855135
Trapeze trou et deux coupes,provisoire,2.42294644434214,2.16129464830562,2.87165171017038,0.216331565567939,0.0721105218559795,2.16522184467117,1.85573337210063,2.39799113046443,0.172560569639153,0.0575201898797178,3.24318759498754,0.383996730179643,4.0477043361421,3.53733846001607,4.94904767981246,0.424885884005364
tache trou,provisoire,2.16246836940551,1.92094581401203,2.44394116037585,0.184680938831158,0.0615603129437192,2.07422408187773,1.8596375211519,2.20997993404788,0.10401369498899,0.0346712316629967,2.88798515380153,0.421251137659317,3.25975231624692,2.9854145976163,3.47292057122045,0.413385779135395
Forme test,provisoire,2.08335891908955,1.58762050812313,2.45993400722924,0.264701745429924,0.0882339151433079,1.979392849828,1.5509892878916,2.50035950935203,0.277546169380626,0.0925153897935421,2.87655913594456,0.325435869642133,3.28309763900645,2.87080029025796,4.05778826496563,0.45242670771124
