Impact,Rx_cm,Ry_cm,Contraste_profil,Contraste_grille,Autre_max
1,2.17658270725717,2.44385069461332,3.31348522880049,2.27987135641649,0.999988499436349
2,2.17401301983894,2.51201845464573,3.38035511007343,2.19741304010465,0.999992555855135
3,2.11964115509926,2.35723287771653,3.39843385945612,2.3355991848459,0.999985432002692
4,3.00478544874873,2.2659812649044,2.96416373786523,3.57217725094918,0.42896416737063
5,2.72114677200966,2.36925255421275,3.52269234004512,3.36627728247021,0.42896416737063
6,2.65262411845076,2.4609067815861,3.44272100141856,3.05566541168942,0.416866214776726
7,2.17689820390093,2.44409640696477,3.31235966430017,2.27928926349359,0.999988499436349
8,2.17311352631602,2.51159687377623,3.38287282170765,2.19773749571412,0.999992555855135
9,2.11996343154165,2.3573178090313,3.39861451686897,2.33589372402085,0.999985432002692
