Impact,Rx_cm,Ry_cm,Contraste_profil,Contraste_grille,Autre_max
1,2.40774398530372,1.88914497276595,2.82311237467855,2.03091846940595,0.999999566557659
2,2.5420255156796,1.9402250749664,2.70849442925457,2.42300155875248,0.999999305527714
3,2.71240552067409,1.91619724681272,2.73127867986894,1.94368711300611,0.999999770647489
4,2.92963042727267,2.22569317134306,2.7838434366269,3.07120549211137,0.573702907326413
5,3.27701380614441,1.41111570074536,2.94692754595374,5.99762489869217,0.223170202041496
6,2.80814696413295,2.27224896647066,2.45383874989665,3.13443592517882,0.573702907326413
7,2.40776264516989,1.88915403626918,2.82305131697705,2.03095489606787,0.999999566557659
8,2.54064261022035,1.94013351036632,2.70667515274033,2.42293506672693,0.999999305527714
9,2.71236091438084,1.91609462184516,2.73120831602623,1.9436625885471,0.999999770647489
