Forme,Materiau,Rx_moy,Rx_std,Rx_inc,Rx_min,Rx_max,Ry_moy,Ry_std,Ry_inc,Ry_min,Ry_max,Cp_moy,Cp_std,Cp_inc,Cp_min,Cp_max,Cg_moy,Cg_std,Cg_inc,Cg_min,Cg_max,Autre_max,N_valides
Cercle,provisoire,2.70419248766428,0.278093125834671,0.0926977086115569,2.40774398530372,3.27701380614441,1.93333414462053,0.244345635240832,0.0814485450802773,1.41111570074536,2.27224896647066,2.74538111133588,0.133430974514284,0.0444769915047613,2.45383874989665,2.94692754595374,2.77760288983209,1.29129286999109,0.430430956663697,1.9436625885471,5.99762489869217,0.999999770647489,9
Rectangle,provisoire,2.36875204257368,0.33226318007602,0.110754393358673,2.11964115509926,3.00478544874873,2.41358374638346,0.0817584616778021,0.0272528205592674,2.2659812649044,2.51201845464573,3.34618869783731,0.156772169034012,0.0522573896780039,2.96416373786523,3.52269234004512,2.62443600107827,0.54811670844536,0.182705569481787,2.19741304010465,3.57217725094918,0.999992555855135,9
Trapeze trou et deux coupes,provisoire,2.42294644434214,0.216331565567939,0.0721105218559795,2.16129464830562,2.87165171017038,2.16522184467117,0.172560569639153,0.0575201898797178,1.85573337210063,2.39799113046443,3.24318759498754,0.383996730179643,0.127998910059881,2.58989999843008,3.8175874019228,4.0477043361421,0.508951194841558,0.169650398280519,3.53733846001607,4.94904767981246,0.424885884005364,9
tache trou,provisoire,2.16246836940551,0.184680938831158,0.0615603129437192,1.92094581401203,2.44394116037585,2.07422408187773,0.10401369498899,0.0346712316629967,1.8596375211519,2.20997993404788,2.88798515380153,0.421251137659317,0.140417045886439,2.13567126964615,3.356768302839,3.25975231624692,0.151043279953004,0.0503477599843346,2.9854145976163,3.47292057122045,0.413385779135395,9
Forme test,provisoire,2.08335891908955,0.264701745429924,0.0882339151433079,1.58762050812313,2.45993400722924,1.979392849828,0.277546169380626,0.0925153897935421,1.5509892878916,2.50035950935203,2.87655913594456,0.325435869642133,0.108478623214044,2.40664142129415,3.5684835221998,3.28309763900645,0.354099131463523,0.118033043821174,2.87080029025796,4.05778826496563,0.45242670771124,9
