Impact,Rx_cm,Ry_cm,Contraste_profil,Contraste_grille,Autre_max
1,2.25435266558185,2.24593740918689,3.39904474969895,4.32886918237405,0.267173226960336
2,2.41404540300932,2.25836000229624,2.94560495735815,3.60487023628644,0.362170584742964
3,2.35971903311898,2.23379513733026,3.36596767721569,3.54408959675428,0.362170584742964
4,2.87165171017038,1.85573337210063,2.58989999843008,3.53733846001607,0.424885884005364
5,2.61567527336326,2.13247506559191,3.1077605722775,3.84695154030201,0.347487378403973
6,2.35174734157602,1.98560232124908,2.94165520055663,3.72784258696912,0.424885884005364
7,2.16129464830562,2.39799113046443,3.8175874019228,4.94904767981246,0.254487514714555
8,2.50644599816098,2.31881331724564,3.65673866417944,4.52265972573975,0.254487514714555
9,2.27158592579286,2.05828884657549,3.3644291332486,4.36767001702476,0.311452734491244
