Grandeur,Moyenne,Minimum,Maximum,Ecart_type,N_valides,N_total
Rx_cm,3.08613901857271,2.69178915316441,3.96113538598048,0.466692638335943,9,9
Ry_cm,2.85940393078082,2.68588657262475,2.96293858810936,0.0978346651306943,9,9
Contraste,2.68236651045336,2.25280505988838,3.61194290031252,0.555238110877245,9,9
