Grandeur,Moyenne,Minimum,Maximum,Ecart_type,N_valides,N_total
Rx_cm,2.74779769027764,2.45150878384523,3.00001925713518,0.201360271501921,9,9
Ry_cm,3.17171260355111,2.6444887516701,3.87044967335742,0.435904358268452,9,9
Contraste,3.67342083480221,3.37405474849491,3.96516446266178,0.206336482948336,9,9
