Impact,Rx_cm,Ry_cm,Contraste,Autre_max
1,2.95464642573514,3.21880981403216,3.44033735287061,0.357116545316575
2,3.00001925713518,3.14821405678636,3.68150434161121,0.382914869327063
3,2.5334975191758,3.75240850737113,3.81733387671613,0.314602297712552
4,2.62075891301769,3.10926309391299,3.96516446266178,0.297787096088792
5,2.93735798181193,2.6444887516701,3.37405474849491,0.382914869327063
6,2.87321038325397,3.87044967335742,3.5137785308553,0.329518670535806
7,2.45150878384523,2.70663481230345,3.91830638747143,0.287208527688733
8,2.73937705603954,3.33297158990677,3.62368190862648,0.329518670535806
9,2.61980289248424,2.76217313261957,3.72662590391207,0.326828733595916
