Impact,Rx_cm,Ry_cm,Contraste,Autre_max
1,2.95130075531805,2.74741496735153,4.32886918237405,0.267173226960336
2,3.245681941223,2.96974932165446,3.60487023628644,0.362170584742964
3,3.22001260414103,2.67644875641825,3.54408959675428,0.362170584742964
4,4.06820622585821,2.96174707602729,3.53733846001607,0.424885884005364
5,4.22960148155826,2.60669200252564,3.84695154030201,0.347487378403973
6,3.49228888410521,2.58828330358944,3.72784258696912,0.424885884005364
7,2.68458592113081,2.90056757218156,4.94904767981246,0.254487514714555
8,3.28118203027827,2.77779187799618,4.52265972573975,0.254487514714555
9,2.89038167522706,2.76419449923665,4.36767001702476,0.311452734491244
