Grandeur,Moyenne,Minimum,Maximum,Ecart_type,N_valides,N_total
Rx_cm,3.25959568141146,2.87430019663173,4.40397797802113,0.552298633311133,9,9
Ry_cm,2.97402647830162,2.78781147758528,3.13005648826499,0.131000255566411,9,9
Contraste,2.62443600107827,2.19741304010465,3.57217725094918,0.54811670844536,9,9
